customer_id,acquisition_month,acquisition_channel,customer_segment,city_tier
C0530,2024-03,Social,Premium Planners,Tier 3
C0531,2025-04,Organic,Value Seekers,Tier 1
C0532,2024-05,Social,Core Shoppers,Tier 2
C0533,2025-06,Marketplace,Premium Planners,Tier 3
C0534,2024-07,Social,Value Seekers,Tier 1
C0535,2025-08,Social,Core Shoppers,Tier 2
C0536,2024-09,Search,Premium Planners,Tier 3
C0537,2025-10,Social,Value Seekers,Tier 1
C0538,2024-11,Referral,Core Shoppers,Tier 2
C0539,2025-12,Organic,Premium Planners,Tier 3
C0540,2024-01,Social,Value Seekers,Tier 1
C0541,2025-02,Referral,Core Shoppers,Tier 2
C0542,2024-03,Search,Premium Planners,Tier 3
C0543,2025-04,Search,Value Seekers,Tier 1
C0544,2024-05,Referral,Core Shoppers,Tier 2
C0545,2025-06,Search,Premium Planners,Tier 3
C0546,2024-07,Referral,Value Seekers,Tier 1
C0547,2025-08,Social,Core Shoppers,Tier 2
C0548,2024-09,Referral,Premium Planners,Tier 3
C0549,2025-10,Search,Value Seekers,Tier 1
C0550,2024-11,Social,Core Shoppers,Tier 2
C0551,2025-12,Marketplace,Premium Planners,Tier 3
C0552,2024-01,Social,Value Seekers,Tier 1
C0553,2025-02,Search,Core Shoppers,Tier 2
C0554,2024-03,Organic,Premium Planners,Tier 3
C0555,2025-04,Social,Value Seekers,Tier 1
C0556,2024-05,Referral,Core Shoppers,Tier 2
C0557,2025-06,Referral,Premium Planners,Tier 3
C0558,2024-07,Marketplace,Value Seekers,Tier 1
C0559,2025-08,Referral,Core Shoppers,Tier 2
C0560,2024-09,Marketplace,Premium Planners,Tier 3
C0561,2025-10,Social,Value Seekers,Tier 1
C0562,2024-11,Referral,Core Shoppers,Tier 2
C0563,2025-12,Marketplace,Premium Planners,Tier 3
C0564,2024-01,Search,Value Seekers,Tier 1
C0565,2025-02,Social,Core Shoppers,Tier 2
C0566,2024-03,Search,Premium Planners,Tier 3
C0567,2025-04,Search,Value Seekers,Tier 1
C0568,2024-05,Social,Core Shoppers,Tier 2
C0569,2025-06,Marketplace,Premium Planners,Tier 3
C0570,2024-07,Referral,Value Seekers,Tier 1
C0571,2025-08,Search,Core Shoppers,Tier 2
C0572,2024-09,Marketplace,Premium Planners,Tier 3
C0573,2025-10,Search,Value Seekers,Tier 1
C0574,2024-11,Marketplace,Core Shoppers,Tier 2
C0575,2025-12,Social,Premium Planners,Tier 3
C0576,2024-01,Referral,Value Seekers,Tier 1
C0577,2025-02,Search,Core Shoppers,Tier 2
C0578,2024-03,Organic,Premium Planners,Tier 3
C0579,2025-04,Search,Value Seekers,Tier 1
C0580,2024-05,Referral,Core Shoppers,Tier 2
C0581,2025-06,Organic,Premium Planners,Tier 3
C0582,2024-07,Marketplace,Value Seekers,Tier 1
C0583,2025-08,Search,Core Shoppers,Tier 2
C0584,2024-09,Referral,Premium Planners,Tier 3
C0585,2025-10,Marketplace,Value Seekers,Tier 1
C0586,2024-11,Organic,Core Shoppers,Tier 2
C0587,2025-12,Search,Premium Planners,Tier 3
C0588,2024-01,Organic,Value Seekers,Tier 1
C0589,2025-02,Referral,Core Shoppers,Tier 2
C0590,2024-03,Organic,Premium Planners,Tier 3
C0591,2025-04,Search,Value Seekers,Tier 1
C0592,2024-05,Organic,Core Shoppers,Tier 2
C0593,2025-06,Marketplace,Premium Planners,Tier 3
C0594,2024-07,Referral,Value Seekers,Tier 1
C0595,2025-08,Search,Core Shoppers,Tier 2
C0596,2024-09,Organic,Premium Planners,Tier 3
C0597,2025-10,Search,Value Seekers,Tier 1
C0598,2024-11,Referral,Core Shoppers,Tier 2
C0599,2025-12,Referral,Premium Planners,Tier 3
C0600,2024-01,Social,Value Seekers,Tier 1
C0601,2025-02,Referral,Core Shoppers,Tier 2
C0602,2024-03,Referral,Premium Planners,Tier 3
C0603,2025-04,Referral,Value Seekers,Tier 1
C0604,2024-05,Organic,Core Shoppers,Tier 2
C0605,2025-06,Referral,Premium Planners,Tier 3
C0606,2024-07,Marketplace,Value Seekers,Tier 1
C0607,2025-08,Marketplace,Core Shoppers,Tier 2
C0608,2024-09,Referral,Premium Planners,Tier 3
C0609,2025-10,Marketplace,Value Seekers,Tier 1
C0610,2024-11,Marketplace,Core Shoppers,Tier 2
C0611,2025-12,Social,Premium Planners,Tier 3
C0612,2024-01,Search,Value Seekers,Tier 1
C0613,2025-02,Marketplace,Core Shoppers,Tier 2
C0614,2024-03,Search,Premium Planners,Tier 3
C0615,2025-04,Organic,Value Seekers,Tier 1
C0616,2024-05,Marketplace,Core Shoppers,Tier 2
C0617,2025-06,Search,Premium Planners,Tier 3
C0618,2024-07,Referral,Value Seekers,Tier 1
C0619,2025-08,Organic,Core Shoppers,Tier 2
C0620,2024-09,Marketplace,Premium Planners,Tier 3
C0621,2025-10,Social,Value Seekers,Tier 1
C0622,2024-11,Social,Core Shoppers,Tier 2
C0623,2025-12,Organic,Premium Planners,Tier 3
C0624,2024-01,Referral,Value Seekers,Tier 1
C0625,2025-02,Marketplace,Core Shoppers,Tier 2
C0626,2024-03,Marketplace,Premium Planners,Tier 3
C0627,2025-04,Search,Value Seekers,Tier 1
C0628,2024-05,Referral,Core Shoppers,Tier 2
C0629,2025-06,Social,Premium Planners,Tier 3
C0630,2024-07,Organic,Value Seekers,Tier 1
C0631,2025-08,Marketplace,Core Shoppers,Tier 2
C0632,2024-09,Search,Premium Planners,Tier 3
C0633,2025-10,Social,Value Seekers,Tier 1
C0634,2024-11,Social,Core Shoppers,Tier 2
C0635,2025-12,Organic,Premium Planners,Tier 3
C0636,2024-01,Social,Value Seekers,Tier 1
C0637,2025-02,Organic,Core Shoppers,Tier 2
C0638,2024-03,Social,Premium Planners,Tier 3
C0639,2025-04,Marketplace,Value Seekers,Tier 1
C0640,2024-05,Marketplace,Core Shoppers,Tier 2
C0641,2025-06,Social,Premium Planners,Tier 3
C0642,2024-07,Referral,Value Seekers,Tier 1
C0643,2025-08,Social,Core Shoppers,Tier 2
C0644,2024-09,Organic,Premium Planners,Tier 3
C0645,2025-10,Search,Value Seekers,Tier 1
C0646,2024-11,Search,Core Shoppers,Tier 2
C0647,2025-12,Organic,Premium Planners,Tier 3
C0648,2024-01,Social,Value Seekers,Tier 1
C0649,2025-02,Organic,Core Shoppers,Tier 2
C0650,2024-03,Search,Premium Planners,Tier 3
C0651,2025-04,Marketplace,Value Seekers,Tier 1
C0652,2024-05,Organic,Core Shoppers,Tier 2
C0653,2025-06,Social,Premium Planners,Tier 3
C0654,2024-07,Search,Value Seekers,Tier 1
C0655,2025-08,Organic,Core Shoppers,Tier 2
C0656,2024-09,Search,Premium Planners,Tier 3
C0657,2025-10,Search,Value Seekers,Tier 1
C0658,2024-11,Referral,Core Shoppers,Tier 2
C0659,2025-12,Marketplace,Premium Planners,Tier 3
C0660,2024-01,Marketplace,Value Seekers,Tier 1
C0661,2025-02,Social,Core Shoppers,Tier 2
C0662,2024-03,Social,Premium Planners,Tier 3
C0663,2025-04,Search,Value Seekers,Tier 1
C0664,2024-05,Search,Core Shoppers,Tier 2
C0665,2025-06,Social,Premium Planners,Tier 3
C0666,2024-07,Referral,Value Seekers,Tier 1
C0667,2025-08,Referral,Core Shoppers,Tier 2
C0668,2024-09,Search,Premium Planners,Tier 3
C0669,2025-10,Referral,Value Seekers,Tier 1
C0670,2024-11,Marketplace,Core Shoppers,Tier 2
C0671,2025-12,Referral,Premium Planners,Tier 3
C0672,2024-01,Social,Value Seekers,Tier 1
C0673,2025-02,Organic,Core Shoppers,Tier 2
C0674,2024-03,Search,Premium Planners,Tier 3
C0675,2025-04,Social,Value Seekers,Tier 1
C0676,2024-05,Organic,Core Shoppers,Tier 2
C0677,2025-06,Referral,Premium Planners,Tier 3
C0678,2024-07,Organic,Value Seekers,Tier 1
C0679,2025-08,Search,Core Shoppers,Tier 2
C0680,2024-09,Social,Premium Planners,Tier 3
C0681,2025-10,Marketplace,Value Seekers,Tier 1
C0682,2024-11,Social,Core Shoppers,Tier 2
C0683,2025-12,Organic,Premium Planners,Tier 3
C0684,2024-01,Search,Value Seekers,Tier 1
C0685,2025-02,Referral,Core Shoppers,Tier 2
C0686,2024-03,Social,Premium Planners,Tier 3
C0687,2025-04,Search,Value Seekers,Tier 1
C0688,2024-05,Search,Core Shoppers,Tier 2
C0689,2025-06,Marketplace,Premium Planners,Tier 3
C0690,2024-07,Organic,Value Seekers,Tier 1
C0691,2025-08,Social,Core Shoppers,Tier 2
C0692,2024-09,Marketplace,Premium Planners,Tier 3
C0693,2025-10,Organic,Value Seekers,Tier 1
C0694,2024-11,Marketplace,Core Shoppers,Tier 2
C0695,2025-12,Social,Premium Planners,Tier 3
C0696,2024-01,Search,Value Seekers,Tier 1
C0697,2025-02,Marketplace,Core Shoppers,Tier 2
C0698,2024-03,Marketplace,Premium Planners,Tier 3
C0699,2025-04,Search,Value Seekers,Tier 1
C0700,2024-05,Social,Core Shoppers,Tier 2
